"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
90,"Auto broker (purchasing service) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
91,"Bail bonding agent ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
92,"Bank Building & Loan Association and Auto Teller",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
93,"Bonding Business and Company",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
94,"Contractor/sub-contractor Offices",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
95,"Insurance Adjustor, Agent, Claims Investigator ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
96,"Insurance company or broker ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
97,"Loan & Finance Company ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
98,"Merchant—Importer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
99,"Money transfer only ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
100,"Mortgage or loan—Agent, Broker , Solicitor",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
101,"Real estate appraiser ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
102,"Real Estate broker and Salesperson ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
103,"Real estate listing bureau ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
104,"Stock Bonds Mutual fund—Dealers and Sales ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
105,"Abstracts of title ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
106,"Advertising matter—Distributor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
107,"Advertising—Agency ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
108,"Advertising—Graphics/art layouts ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
109,"Advertising—Motor vehicles ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
110,"Advertising—Outdoor signs & billboards ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
111,"Advertising—Sound amplifying vehicles ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
112,"Advertising—Trade inducement ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
113,"Agency ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
114,"Agency—Claims & collections ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
115,"Agency—Credit reporting ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
116,"Agency—Display/stock not for sale ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
117,"Agency—Employment ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
118,"Agency—Equipment ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
119,"Agency—Manufacturer's representative ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
120,"Agency—Marketing ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
